"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"Census Tract 1011, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,118","1,041","77","2.8","0.0","","1,118","1,007","37","10","45","0","0","0","19","0","","1,118","0","0","25","19","19","42","211","460","58","284","","1,118","0","36","71","276","352","245","82","37","19","5.0","","1,118","0","125","487","466","36","4","","1,041","944","97","2.20","3.28","","1,041","6","182","212","281","168","192","","1,041","53","369","440","179","","1,041","924","9","108","0","0","0","0","0","0","","1,041","0","0","9","","1,041","1,006","35","0","","944","69","277","449","123","15","11","0","0","109,600","","944","541","403","","541","0","254","263","24","0","0","0","1,023","403","39","180","163","21","0","0","389","","541","235","147","33","0","126","0","389","171","82","93","10","0","6","27","14","","81","0","40","41","0","0","0","0","1,005","16","","81","8","0","39","0","11","23","16"
"    Percent","","1,118","93.1%","6.9%","(X)","(X)","","1,118","90.1%","3.3%","0.9%","4.0%","0.0%","0.0%","0.0%","1.7%","0.0%","","1,118","0.0%","0.0%","2.2%","1.7%","1.7%","3.8%","18.9%","41.1%","5.2%","25.4%","","1,118","0.0%","3.2%","6.4%","24.7%","31.5%","21.9%","7.3%","3.3%","1.7%","(X)","","1,118","0.0%","11.2%","43.6%","41.7%","3.2%","0.4%","","1,041","90.7%","9.3%","(X)","(X)","","1,041","0.6%","17.5%","20.4%","27.0%","16.1%","18.4%","","1,041","5.1%","35.4%","42.3%","17.2%","","1,041","88.8%","0.9%","10.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","1,041","0.0%","0.0%","0.9%","","1,041","96.6%","3.4%","0.0%","","944","7.3%","29.3%","47.6%","13.0%","1.6%","1.2%","0.0%","0.0%","(X)","","944","57.3%","42.7%","","541","0.0%","47.0%","48.6%","4.4%","0.0%","0.0%","0.0%","(X)","403","9.7%","44.7%","40.4%","5.2%","0.0%","0.0%","(X)","","541","43.4%","27.2%","6.1%","0.0%","23.3%","(X)","389","44.0%","21.1%","23.9%","2.6%","0.0%","1.5%","6.9%","(X)","","81","0.0%","49.4%","50.6%","0.0%","0.0%","0.0%","0.0%","(X)","(X)","","81","9.9%","0.0%","48.1%","0.0%","13.6%","28.4%","(X)"
"Census Tract 1012, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,527","1,427","100","0.0","0.0","","1,527","1,289","19","53","44","40","54","9","19","0","","1,527","0","39","51","14","9","30","196","653","140","395","","1,527","9","10","112","211","442","429","168","74","72","5.5","","1,527","28","138","544","688","113","16","","1,427","1,155","272","2.70","1.85","","1,427","27","493","238","272","211","186","","1,427","38","491","646","252","","1,427","1,356","0","71","0","0","0","0","0","0","","1,427","0","14","16","","1,427","1,399","19","9","","1,155","8","74","516","308","180","50","0","19","148,300","","1,155","859","296","","859","0","169","456","211","23","0","0","1,304","296","0","77","100","119","0","0","492","","851","519","158","91","23","60","8","296","89","79","51","23","25","14","15","0","","260","9","170","39","10","32","0","0","831","12","","251","96","9","8","70","12","56","21"
"    Percent","","1,527","93.5%","6.5%","(X)","(X)","","1,527","84.4%","1.2%","3.5%","2.9%","2.6%","3.5%","0.6%","1.2%","0.0%","","1,527","0.0%","2.6%","3.3%","0.9%","0.6%","2.0%","12.8%","42.8%","9.2%","25.9%","","1,527","0.6%","0.7%","7.3%","13.8%","28.9%","28.1%","11.0%","4.8%","4.7%","(X)","","1,527","1.8%","9.0%","35.6%","45.1%","7.4%","1.0%","","1,427","80.9%","19.1%","(X)","(X)","","1,427","1.9%","34.5%","16.7%","19.1%","14.8%","13.0%","","1,427","2.7%","34.4%","45.3%","17.7%","","1,427","95.0%","0.0%","5.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","1,427","0.0%","1.0%","1.1%","","1,427","98.0%","1.3%","0.6%","","1,155","0.7%","6.4%","44.7%","26.7%","15.6%","4.3%","0.0%","1.6%","(X)","","1,155","74.4%","25.6%","","859","0.0%","19.7%","53.1%","24.6%","2.7%","0.0%","0.0%","(X)","296","0.0%","26.0%","33.8%","40.2%","0.0%","0.0%","(X)","","851","61.0%","18.6%","10.7%","2.7%","7.1%","(X)","296","30.1%","26.7%","17.2%","7.8%","8.4%","4.7%","5.1%","(X)","","260","3.5%","65.4%","15.0%","3.8%","12.3%","0.0%","0.0%","(X)","(X)","","251","38.2%","3.6%","3.2%","27.9%","4.8%","22.3%","(X)"
"Census Tract 1013, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,117","1,911","206","3.4","7.5","","2,117","1,061","12","447","395","76","87","39","0","0","","2,117","0","0","12","0","18","48","101","139","351","1,448","","2,117","46","0","177","356","760","372","136","192","78","5.1","","2,117","46","719","816","383","153","0","","1,911","1,035","876","2.28","1.54","","1,911","57","721","397","348","186","202","","1,911","78","1,036","576","221","","1,911","1,624","37","209","0","0","0","0","41","0","","1,911","0","0","12","","1,911","1,911","0","0","","1,035","13","164","261","303","169","113","0","12","163,300","","1,035","567","468","","567","0","73","270","147","56","0","21","1,333","468","0","63","218","74","91","22","532","","567","264","91","38","41","133","0","468","204","85","110","11","24","13","21","0","","876","12","651","204","9","0","0","0","938","0","","876","366","120","121","103","63","103","0"
"    Percent","","2,117","90.3%","9.7%","(X)","(X)","","2,117","50.1%","0.6%","21.1%","18.7%","3.6%","4.1%","1.8%","0.0%","0.0%","","2,117","0.0%","0.0%","0.6%","0.0%","0.9%","2.3%","4.8%","6.6%","16.6%","68.4%","","2,117","2.2%","0.0%","8.4%","16.8%","35.9%","17.6%","6.4%","9.1%","3.7%","(X)","","2,117","2.2%","34.0%","38.5%","18.1%","7.2%","0.0%","","1,911","54.2%","45.8%","(X)","(X)","","1,911","3.0%","37.7%","20.8%","18.2%","9.7%","10.6%","","1,911","4.1%","54.2%","30.1%","11.6%","","1,911","85.0%","1.9%","10.9%","0.0%","0.0%","0.0%","0.0%","2.1%","0.0%","","1,911","0.0%","0.0%","0.6%","","1,911","100.0%","0.0%","0.0%","","1,035","1.3%","15.8%","25.2%","29.3%","16.3%","10.9%","0.0%","1.2%","(X)","","1,035","54.8%","45.2%","","567","0.0%","12.9%","47.6%","25.9%","9.9%","0.0%","3.7%","(X)","468","0.0%","13.5%","46.6%","15.8%","19.4%","4.7%","(X)","","567","46.6%","16.0%","6.7%","7.2%","23.5%","(X)","468","43.6%","18.2%","23.5%","2.4%","5.1%","2.8%","4.5%","(X)","","876","1.4%","74.3%","23.3%","1.0%","0.0%","0.0%","0.0%","(X)","(X)","","876","41.8%","13.7%","13.8%","11.8%","7.2%","11.8%","(X)"
"Census Tract 1014, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,403","1,138","265","0.0","12.5","","1,403","1,075","33","169","56","32","13","25","0","0","","1,403","0","26","66","13","7","67","65","97","96","966","","1,403","21","6","192","219","267","359","167","46","126","5.5","","1,403","21","268","596","314","152","52","","1,138","795","343","2.46","2.57","","1,138","113","320","188","254","116","147","","1,138","126","458","312","242","","1,138","1,031","10","89","0","0","0","0","0","8","","1,138","0","0","43","","1,138","1,123","15","0","","795","116","229","191","95","114","9","31","10","110,100","","795","451","344","","451","7","182","156","55","20","0","31","1,088","344","46","40","118","48","81","11","475","","451","227","109","14","29","72","0","344","91","111","22","14","84","4","18","0","","335","60","167","108","0","0","0","0","855","8","","335","95","26","26","4","22","162","8"
"    Percent","","1,403","81.1%","18.9%","(X)","(X)","","1,403","76.6%","2.4%","12.0%","4.0%","2.3%","0.9%","1.8%","0.0%","0.0%","","1,403","0.0%","1.9%","4.7%","0.9%","0.5%","4.8%","4.6%","6.9%","6.8%","68.9%","","1,403","1.5%","0.4%","13.7%","15.6%","19.0%","25.6%","11.9%","3.3%","9.0%","(X)","","1,403","1.5%","19.1%","42.5%","22.4%","10.8%","3.7%","","1,138","69.9%","30.1%","(X)","(X)","","1,138","9.9%","28.1%","16.5%","22.3%","10.2%","12.9%","","1,138","11.1%","40.2%","27.4%","21.3%","","1,138","90.6%","0.9%","7.8%","0.0%","0.0%","0.0%","0.0%","0.0%","0.7%","","1,138","0.0%","0.0%","3.8%","","1,138","98.7%","1.3%","0.0%","","795","14.6%","28.8%","24.0%","11.9%","14.3%","1.1%","3.9%","1.3%","(X)","","795","56.7%","43.3%","","451","1.6%","40.4%","34.6%","12.2%","4.4%","0.0%","6.9%","(X)","344","13.4%","11.6%","34.3%","14.0%","23.5%","3.2%","(X)","","451","50.3%","24.2%","3.1%","6.4%","16.0%","(X)","344","26.5%","32.3%","6.4%","4.1%","24.4%","1.2%","5.2%","(X)","","335","17.9%","49.9%","32.2%","0.0%","0.0%","0.0%","0.0%","(X)","(X)","","335","28.4%","7.8%","7.8%","1.2%","6.6%","48.4%","(X)"
"Census Tract 1015, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,750","1,347","403","10.5","15.6","","1,750","1,047","9","166","247","35","47","199","0","0","","1,750","0","0","11","57","69","117","246","112","77","1,061","","1,750","35","46","318","516","481","216","76","30","32","4.4","","1,750","44","436","816","329","125","0","","1,347","493","854","1.82","2.22","","1,347","43","530","354","215","77","128","","1,347","340","547","388","72","","1,347","728","0","619","0","0","0","0","0","0","","1,347","31","0","49","","1,347","1,306","0","41","","493","97","190","189","17","0","0","0","0","75,100","","493","263","230","","263","32","33","159","30","9","0","0","1,129","230","29","56","136","9","0","0","426","","263","173","34","8","9","39","0","221","75","57","9","23","0","35","22","9","","846","77","613","147","9","0","0","0","840","8","","819","86","93","8","34","92","506","35"
"    Percent","","1,750","77.0%","23.0%","(X)","(X)","","1,750","59.8%","0.5%","9.5%","14.1%","2.0%","2.7%","11.4%","0.0%","0.0%","","1,750","0.0%","0.0%","0.6%","3.3%","3.9%","6.7%","14.1%","6.4%","4.4%","60.6%","","1,750","2.0%","2.6%","18.2%","29.5%","27.5%","12.3%","4.3%","1.7%","1.8%","(X)","","1,750","2.5%","24.9%","46.6%","18.8%","7.1%","0.0%","","1,347","36.6%","63.4%","(X)","(X)","","1,347","3.2%","39.3%","26.3%","16.0%","5.7%","9.5%","","1,347","25.2%","40.6%","28.8%","5.3%","","1,347","54.0%","0.0%","46.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","1,347","2.3%","0.0%","3.6%","","1,347","97.0%","0.0%","3.0%","","493","19.7%","38.5%","38.3%","3.4%","0.0%","0.0%","0.0%","0.0%","(X)","","493","53.3%","46.7%","","263","12.2%","12.5%","60.5%","11.4%","3.4%","0.0%","0.0%","(X)","230","12.6%","24.3%","59.1%","3.9%","0.0%","0.0%","(X)","","263","65.8%","12.9%","3.0%","3.4%","14.8%","(X)","221","33.9%","25.8%","4.1%","10.4%","0.0%","15.8%","10.0%","(X)","","846","9.1%","72.5%","17.4%","1.1%","0.0%","0.0%","0.0%","(X)","(X)","","819","10.5%","11.4%","1.0%","4.2%","11.2%","61.8%","(X)"
