"Label (Grouping)","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Total households","HOUSEHOLDS BY TYPE!!Total households!!Married-couple household","HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household","HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone","HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years","HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over","HOUSEHOLDS BY TYPE!!Total households!!Average household size","HOUSEHOLDS BY TYPE!!Total households!!Average family size","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder","RELATIONSHIP!!Population in households!!Spouse","RELATIONSHIP!!Population in households!!Unmarried partner","RELATIONSHIP!!Population in households!!Child","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Other nonrelatives","MARITAL STATUS","MARITAL STATUS!!Males 15 years and over","MARITAL STATUS!!Males 15 years and over!!Never married","MARITAL STATUS!!Males 15 years and over!!Now married, except separated","MARITAL STATUS!!Males 15 years and over!!Separated","MARITAL STATUS!!Males 15 years and over!!Widowed","MARITAL STATUS!!Males 15 years and over!!Divorced","MARITAL STATUS!!Females 15 years and over","MARITAL STATUS!!Females 15 years and over!!Never married","MARITAL STATUS!!Females 15 years and over!!Now married, except separated","MARITAL STATUS!!Females 15 years and over!!Separated","MARITAL STATUS!!Females 15 years and over!!Widowed","MARITAL STATUS!!Females 15 years and over!!Divorced","FERTILITY","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","GRANDPARENTS","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years","GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female","GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married","SCHOOL ENROLLMENT","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)","SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over","DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad","PLACE OF BIRTH","PLACE OF BIRTH!!Total population","PLACE OF BIRTH!!Total population!!Native","PLACE OF BIRTH!!Total population!!Native!!Born in United States","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence","PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state","PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","PLACE OF BIRTH!!Total population!!Foreign born","U.S. CITIZENSHIP STATUS","U.S. CITIZENSHIP STATUS!!Foreign-born population","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen","U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen","YEAR OF ENTRY","YEAR OF ENTRY!!Population born outside the United States","YEAR OF ENTRY!!Population born outside the United States!!Native","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010","YEAR OF ENTRY!!Population born outside the United States!!Foreign born","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later","YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010","WORLD REGION OF BIRTH OF FOREIGN BORN","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","LANGUAGE SPOKEN AT HOME","LANGUAGE SPOKEN AT HOME!!Population 5 years and over","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","ANCESTRY","ANCESTRY!!Total population","ANCESTRY!!Total population!!American","ANCESTRY!!Total population!!Arab","ANCESTRY!!Total population!!Czech","ANCESTRY!!Total population!!Danish","ANCESTRY!!Total population!!Dutch","ANCESTRY!!Total population!!English","ANCESTRY!!Total population!!French (except Basque)","ANCESTRY!!Total population!!French Canadian","ANCESTRY!!Total population!!German","ANCESTRY!!Total population!!Greek","ANCESTRY!!Total population!!Hungarian","ANCESTRY!!Total population!!Irish","ANCESTRY!!Total population!!Italian","ANCESTRY!!Total population!!Lithuanian","ANCESTRY!!Total population!!Norwegian","ANCESTRY!!Total population!!Polish","ANCESTRY!!Total population!!Portuguese","ANCESTRY!!Total population!!Russian","ANCESTRY!!Total population!!Scotch-Irish","ANCESTRY!!Total population!!Scottish","ANCESTRY!!Total population!!Slovak","ANCESTRY!!Total population!!Subsaharan African","ANCESTRY!!Total population!!Swedish","ANCESTRY!!Total population!!Swiss","ANCESTRY!!Total population!!Ukrainian","ANCESTRY!!Total population!!Welsh","ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups)","COMPUTERS AND INTERNET USE","COMPUTERS AND INTERNET USE!!Total households","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Census Tract 1011, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,041","409","(X)","111","(X)","239","(X)","192","48","282","(X)","127","71","261","302","2.30","2.78","","2,391","1,041","400","149","623","93","85","","998","369","415","10","24","180","1,105","380","428","54","103","140","","22","0","0","33","0","126","0","","15","6","","0","6","0","0","6","0","6","","391","15","18","150","137","71","","1,885","91","157","737","429","145","261","65","1,637","326","","2,011","187","","2,391","367","380","0","1,594","241","417","126","","2,369","2,196","173","173","0","173","126","47","0","","2,391","2,036","2,036","1,666","370","0","355","","355","313","42","","355","0","0","0","355","0","355","","355","94","210","0","0","51","0","","2,271","1,815","456","211","101","53","261","114","68","44","26","0","","2,391","60","124","9","0","7","126","27","9","619","42","0","298","201","0","9","26","0","15","66","36","0","0","10","11","8","0","0","","1,041","927","866"
"    Percent","","1,041","39.3%","(X)","10.7%","(X)","23.0%","(X)","18.4%","4.6%","27.1%","(X)","12.2%","6.8%","25.1%","29.0%","(X)","(X)","","2,391","43.5%","16.7%","6.2%","26.1%","3.9%","3.6%","","998","37.0%","41.6%","1.0%","2.4%","18.0%","1,105","34.4%","38.7%","4.9%","9.3%","12.7%","","22","0.0%","(X)","(X)","(X)","(X)","(X)","","15","40.0%","","0.0%","40.0%","0.0%","0.0%","6","0.0%","100.0%","","391","3.8%","4.6%","38.4%","35.0%","18.2%","","1,885","4.8%","8.3%","39.1%","22.8%","7.7%","13.8%","3.4%","86.8%","17.3%","","2,011","9.3%","","2,391","15.3%","380","0.0%","1,594","15.1%","417","30.2%","","2,369","92.7%","7.3%","7.3%","0.0%","7.3%","5.3%","2.0%","0.0%","","2,391","85.2%","85.2%","69.7%","15.5%","0.0%","14.8%","","355","88.2%","11.8%","","355","0","-","-","355","0.0%","100.0%","","355","26.5%","59.2%","0.0%","0.0%","14.4%","0.0%","","2,271","79.9%","20.1%","9.3%","4.4%","2.3%","11.5%","5.0%","3.0%","1.9%","1.1%","0.0%","","2,391","2.5%","5.2%","0.4%","0.0%","0.3%","5.3%","1.1%","0.4%","25.9%","1.8%","0.0%","12.5%","8.4%","0.0%","0.4%","1.1%","0.0%","0.6%","2.8%","1.5%","0.0%","0.0%","0.4%","0.5%","0.3%","0.0%","0.0%","","1,041","89.0%","83.2%"
"Census Tract 1012, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,427","739","(X)","142","(X)","215","(X)","175","49","331","(X)","246","115","399","384","2.53","3.17","","3,617","1,427","772","192","1,060","114","52","","1,355","467","747","8","24","109","1,427","293","773","13","161","187","","65","0","0","88","0","217","0","","0","0","","0","0","0","0","0","0","0","","891","297","22","350","78","144","","2,545","49","105","614","549","159","729","340","2,391","1,069","","2,720","171","","3,626","426","906","8","2,202","250","518","168","","3,561","3,402","159","159","51","108","105","3","0","","3,626","3,265","3,234","2,466","768","31","361","","361","215","146","","392","31","0","31","361","191","170","","361","61","300","0","0","0","0","","3,188","2,908","280","131","20","0","259","131","1","0","0","0","","3,626","186","39","8","10","8","219","97","9","1,163","24","31","361","247","9","52","151","0","0","16","18","0","0","8","9","0","12","0","","1,427","1,296","1,220"
"    Percent","","1,427","51.8%","(X)","10.0%","(X)","15.1%","(X)","12.3%","3.4%","23.2%","(X)","17.2%","8.1%","28.0%","26.9%","(X)","(X)","","3,617","39.5%","21.3%","5.3%","29.3%","3.2%","1.4%","","1,355","34.5%","55.1%","0.6%","1.8%","8.0%","1,427","20.5%","54.2%","0.9%","11.3%","13.1%","","65","0.0%","(X)","(X)","(X)","(X)","(X)","","0","-","","-","-","-","-","0","-","-","","891","33.3%","2.5%","39.3%","8.8%","16.2%","","2,545","1.9%","4.1%","24.1%","21.6%","6.2%","28.6%","13.4%","93.9%","42.0%","","2,720","6.3%","","3,626","11.7%","906","0.9%","2,202","11.4%","518","32.4%","","3,561","95.5%","4.5%","4.5%","1.4%","3.0%","2.9%","0.1%","0.0%","","3,626","90.0%","89.2%","68.0%","21.2%","0.9%","10.0%","","361","59.6%","40.4%","","392","31","0.0%","100.0%","361","52.9%","47.1%","","361","16.9%","83.1%","0.0%","0.0%","0.0%","0.0%","","3,188","91.2%","8.8%","4.1%","0.6%","0.0%","8.1%","4.1%","0.0%","0.0%","0.0%","0.0%","","3,626","5.1%","1.1%","0.2%","0.3%","0.2%","6.0%","2.7%","0.2%","32.1%","0.7%","0.9%","10.0%","6.8%","0.2%","1.4%","4.2%","0.0%","0.0%","0.4%","0.5%","0.0%","0.0%","0.2%","0.2%","0.0%","0.3%","0.0%","","1,427","90.8%","85.5%"
"Census Tract 1013, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,911","745","(X)","101","(X)","368","(X)","315","131","697","(X)","636","145","376","519","1.94","2.89","","3,707","1,911","759","111","726","127","73","","1,403","379","797","0","30","197","1,771","633","784","50","89","215","","9","0","0","10","0","24","0","","35","0","","0","0","0","0","0","0","0","","661","68","32","290","119","152","","2,906","75","97","720","588","192","466","768","2,734","1,234","","3,102","256","","3,712","566","610","0","2,392","339","710","227","","3,679","3,311","368","368","121","247","222","25","0","","3,712","3,413","3,400","2,541","859","13","299","","299","271","28","","312","13","0","13","299","62","237","","299","122","177","0","0","0","0","","3,502","2,948","554","364","0","0","370","289","184","75","0","0","","3,712","49","118","44","0","14","245","72","26","1,194","0","6","612","126","0","27","244","0","0","73","75","0","43","28","1","11","0","0","","1,911","1,691","1,698"
"    Percent","","1,911","39.0%","(X)","5.3%","(X)","19.3%","(X)","16.5%","6.9%","36.5%","(X)","33.3%","7.6%","19.7%","27.2%","(X)","(X)","","3,707","51.6%","20.5%","3.0%","19.6%","3.4%","2.0%","","1,403","27.0%","56.8%","0.0%","2.1%","14.0%","1,771","35.7%","44.3%","2.8%","5.0%","12.1%","","9","0.0%","(X)","(X)","(X)","(X)","(X)","","35","0.0%","","0.0%","0.0%","0.0%","0.0%","0","-","-","","661","10.3%","4.8%","43.9%","18.0%","23.0%","","2,906","2.6%","3.3%","24.8%","20.2%","6.6%","16.0%","26.4%","94.1%","42.5%","","3,102","8.3%","","3,712","15.2%","610","0.0%","2,392","14.2%","710","32.0%","","3,679","90.0%","10.0%","10.0%","3.3%","6.7%","6.0%","0.7%","0.0%","","3,712","91.9%","91.6%","68.5%","23.1%","0.4%","8.1%","","299","90.6%","9.4%","","312","13","0.0%","100.0%","299","20.7%","79.3%","","299","40.8%","59.2%","0.0%","0.0%","0.0%","0.0%","","3,502","84.2%","15.8%","10.4%","0.0%","0.0%","10.6%","8.3%","5.3%","2.1%","0.0%","0.0%","","3,712","1.3%","3.2%","1.2%","0.0%","0.4%","6.6%","1.9%","0.7%","32.2%","0.0%","0.2%","16.5%","3.4%","0.0%","0.7%","6.6%","0.0%","0.0%","2.0%","2.0%","0.0%","1.2%","0.8%","0.0%","0.3%","0.0%","0.0%","","1,911","88.5%","88.9%"
"Census Tract 1014, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,138","460","(X)","30","(X)","306","(X)","250","53","342","(X)","139","109","432","267","2.49","3.30","","2,834","1,138","481","32","930","145","108","","1,334","604","590","14","17","109","935","260","405","71","92","107","","15","0","0","26","0","47","0","","70","19","","0","0","0","19","19","9","19","","830","102","35","307","197","189","","1,796","30","128","591","320","101","370","256","1,638","626","","2,243","145","","2,821","329","578","7","1,958","218","285","104","","2,817","2,410","407","278","128","150","126","24","129","","2,834","2,519","2,394","1,874","520","125","315","","315","53","262","","440","125","125","0","315","143","172","","315","18","70","121","0","106","0","","2,641","2,216","425","247","198","91","28","0","49","38","150","118","","2,834","146","41","32","0","23","128","69","0","503","12","8","295","105","0","0","8","0","0","0","72","0","94","9","0","0","18","0","","1,138","1,021","964"
"    Percent","","1,138","40.4%","(X)","2.6%","(X)","26.9%","(X)","22.0%","4.7%","30.1%","(X)","12.2%","9.6%","38.0%","23.5%","(X)","(X)","","2,834","40.2%","17.0%","1.1%","32.8%","5.1%","3.8%","","1,334","45.3%","44.2%","1.0%","1.3%","8.2%","935","27.8%","43.3%","7.6%","9.8%","11.4%","","15","0.0%","(X)","(X)","(X)","(X)","(X)","","70","27.1%","","0.0%","0.0%","0.0%","27.1%","19","47.4%","100.0%","","830","12.3%","4.2%","37.0%","23.7%","22.8%","","1,796","1.7%","7.1%","32.9%","17.8%","5.6%","20.6%","14.3%","91.2%","34.9%","","2,243","6.5%","","2,821","11.7%","578","1.2%","1,958","11.1%","285","36.5%","","2,817","85.6%","14.4%","9.9%","4.5%","5.3%","4.5%","0.9%","4.6%","","2,834","88.9%","84.5%","66.1%","18.3%","4.4%","11.1%","","315","16.8%","83.2%","","440","125","100.0%","0.0%","315","45.4%","54.6%","","315","5.7%","22.2%","38.4%","0.0%","33.7%","0.0%","","2,641","83.9%","16.1%","9.4%","7.5%","3.4%","1.1%","0.0%","1.9%","1.4%","5.7%","4.5%","","2,834","5.2%","1.4%","1.1%","0.0%","0.8%","4.5%","2.4%","0.0%","17.7%","0.4%","0.3%","10.4%","3.7%","0.0%","0.0%","0.3%","0.0%","0.0%","0.0%","2.5%","0.0%","3.3%","0.3%","0.0%","0.0%","0.6%","0.0%","","1,138","89.7%","84.7%"
"Census Tract 1015, St. Louis city, Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
